"text",disease
"I feel weak and have persistent cough",cancer
"I have swelling in my legs and hands",hypertension
"I feel very tired and thirsty",diabetes
"I get frequent headaches with blurred vision",migraine
"I feel short of breath and have chest pain",hypertension
"My nose is congested and I have a headache",flu
"I get frequent headaches with blurred vision",migraine
"I feel weak and have persistent cough",cancer
"I feel lightheaded and have difficulty breathing",hypertension
"I have frequent headaches and dizziness",hypertension
"I feel lightheaded and have difficulty breathing",hypertension
"I feel tightness in my chest and a dry cough",asthma
"I have trouble using my hands due to pain in my joints",arthritis
"I feel fatigued and have body aches",flu
"I feel weak and have persistent cough",cancer
"I have a headache that is worse with movement",migraine
"I am feeling extremely weak and have muscle pain",flu
"I have stomach pain and nausea",gastritis
"I feel stiffness and tenderness in my joints",arthritis
"I have a headache that is worse with movement",migraine
"I wheeze and cough at night",asthma
"I am feeling extremely weak and have muscle pain",flu
"I have stomach pain and nausea",gastritis
"My skin becomes inflamed and very dry",eczema
"I feel stiffness and tenderness in my joints",arthritis
"I feel tightness in my chest and a dry cough",asthma
"I wheeze and cough at night",asthma
"My breathing is difficult during physical activity",asthma
"I have a headache that is worse with movement",migraine
"I am always hungry and have blurry vision",diabetes
"My nose is stuffy and I feel fatigued",cold
"My stomach hurts after eating and I feel nauseous",gastritis
"My skin becomes inflamed and very dry",eczema
"I have lumps or swelling that are painful",cancer
"I have watery eyes and a stuffy nose",cold
"I have wounds that heal slowly",diabetes
"I am sneezing and have a sore throat",cold
"I feel bloated after eating",gastritis
"I often feel winded after light exertion",asthma
"I am feeling fatigued and have blurry vision",hypertension
"I feel stiffness and tenderness in my joints",arthritis
"I have stomach pain and nausea",gastritis
"I have a runny nose and cough",cold
"My breathing is difficult during physical activity",asthma
"I feel stiffness and tenderness in my joints",arthritis
"I feel light sensitivity and have a throbbing headache",migraine
"I feel pain and irritation on my skin",eczema
"I have dry patches on my skin that crack and bleed",eczema
"I have indigestion and heartburn",gastritis
"I am feeling extremely weak and have muscle pain",flu
"My skin becomes inflamed and very dry",eczema
"I have a sore throat and a cough",flu
"I have joint pain and swelling",arthritis
"I feel weak and have persistent cough",cancer
"My stomach hurts after eating and I feel nauseous",gastritis
"I have a headache that is worse with movement",migraine
"I have lumps or swelling that are painful",cancer
"I have lumps or swelling that are painful",cancer
"I feel tightness in my chest and a dry cough",asthma
"I am always hungry and have blurry vision",diabetes
"I have watery eyes and a stuffy nose",cold
"I have indigestion and heartburn",gastritis
"I feel congested and have a mild cough",cold
"I am always hungry and have blurry vision",diabetes
"I am feeling extremely weak and have muscle pain",flu
"I have acid reflux and a loss of appetite",gastritis
"I have a runny nose and cough",cold
"I feel weak and have persistent cough",cancer
"I wheeze and cough at night",asthma
"I wheeze and cough at night",asthma
"I am always hungry and have blurry vision",diabetes
"I feel light sensitivity and have a throbbing headache",migraine
"I have swelling in my legs and hands",hypertension
"I feel tightness in my chest and a dry cough",asthma
"I feel short of breath and have chest pain",hypertension
"I have trouble using my hands due to pain in my joints",arthritis
"I feel very tired and thirsty",diabetes
"My nose is congested and I have a headache",flu
"I get frequent headaches with blurred vision",migraine
"I have a sore throat and a cough",flu
"My joints are swollen and I have difficulty moving them",arthritis
"My nose is congested and I have a headache",flu
"I feel tightness in my chest and a dry cough",asthma
"I feel light sensitivity and have a throbbing headache",migraine
"I have rashes that come and go",eczema
"I have rashes that come and go",eczema
"I am always hungry and have blurry vision",diabetes
"My stomach hurts after eating and I feel nauseous",gastritis
"I experience intense headaches and sensitivity to sound",migraine
"I have blood in my stool and unexplained bleeding",cancer
"I have rashes that come and go",eczema
"I have frequent headaches and dizziness",hypertension
"I have a sore throat and a cough",flu
"I wheeze and cough at night",asthma
"I wheeze and cough at night",asthma
"I get frequent headaches with blurred vision",migraine
"I feel very tired and thirsty",diabetes
"I feel fatigued and have body aches",flu
"I have stomach pain and nausea",gastritis
"I have unexplained weight loss and fatigue",cancer
"I wheeze and cough at night",asthma
"I am feeling pain in my abdomen and loss of appetite",cancer
"I am feeling fatigued and have blurry vision",hypertension
"I feel short of breath and have chest pain",hypertension
"I feel bloated after eating",gastritis
"I feel pain and irritation on my skin",eczema
"I am always hungry and have blurry vision",diabetes
"I have acid reflux and a loss of appetite",gastritis
"I am always hungry and have blurry vision",diabetes
"I am sneezing and have a sore throat",cold
"My skin is itchy and red",eczema
"I feel congested and have a mild cough",cold
"I have shortness of breath and wheezing",asthma
"I have blood in my stool and unexplained bleeding",cancer
"I have shortness of breath and wheezing",asthma
"My breathing is difficult during physical activity",asthma
"I feel pain and irritation on my skin",eczema
"I have a runny nose and cough",cold
"I have blood in my stool and unexplained bleeding",cancer
"I feel lightheaded and have difficulty breathing",hypertension
"I have wounds that heal slowly",diabetes
"My nose is stuffy and I feel fatigued",cold
